year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2007.8365,,15.3,,
2007.8637,,18.84,,
2007.8908,,23.52,,
2007.918,,22.68,,
2007.9451,,20.65,,
2007.9723,,15.75,,
2007.9995,,17.7,,
2008.0266,,18.92,,
2008.0537,,22.25,,
2008.0808,,21.93,,
2008.108,,19.74,,
2008.1351,,21.06,,
2008.1623,,18.11,,
2008.1894,,21.3,,
2008.2166,,21.77,,
2008.2437,,20.86,,
2008.2709,,19.4,,
2008.2981,,20.73,,
2008.3253,,20.54,,
2008.3456,,19.73,,
2008.3795,,25.13,,
2008.4066,,25.06,,
2008.4338,,22.8,,
2008.4609,,21.51,,
2008.4881,,23.23,,
2008.5152,,24.26,,
2008.5423,,24.06,,
2008.5425,,,22.35,
2008.5695,,22.04,21.52,
2008.5922,,21.03,,
2008.5968,,,19.51,
2008.6238,,,22.01,
2008.6507,,,20.57,
2008.6509,,18.21,,
2008.6781,,,20.47,
2008.6782,,20.74,,
2008.7052,,19.17,19.4,
2008.7324,,20.55,21.04,
2008.7595,,22.38,21.46,
2008.7867,,21.31,22.09,
2008.8138,,23.48,22.67,
2008.841,,,21.08,
2008.8411,,21.33,,
2008.8681,,24.33,23.4,
2008.8953,,23.76,22.29,
2008.9224,,,26.88,
2008.9225,,27.16,,
2008.9496,,22.25,22.41,
2008.9768,,,20.99,
2008.9769,,20.48,,
2009.0039,,22.72,22.76,
2009.031,,23.63,,
2009.0316,,,23.38,
2009.0582,,23.14,22.84,
2009.0853,,,22.18,
2009.1124,,,19.88,
2009.1267,,20.26,,
2009.1396,,,21.84,
2009.1531,,23.44,,
2009.1667,,,23.08,
2009.1803,,26.78,,
2009.1939,,,24.04,
2009.2074,,27.39,,
2009.221,,,24.64,
2009.2346,,26.9,,
2009.2482,,,24.71,
2009.2618,,25.86,,
2009.2753,,,24.08,
2009.2889,,23.49,,
2009.3025,,,24.84,
2009.316,,25.7,,
2009.3296,,,24.99,
2009.3432,,27.72,,
2009.3567,,,24.52,
2009.3703,,23.91,,
2009.3839,,,23.68,
2009.3975,,24.06,,
2009.4107,,,23.24,
2009.4246,,23.74,,
2009.4382,,,25.25,
2009.4518,,27.59,,
2009.4653,,,25.87,
2009.4789,,24.78,,
2009.4925,,,24.07,
2009.5061,,24.57,,
2009.5197,,,22.14,
2009.5332,,24.55,,
2009.5468,,,23.58,
2009.5604,,27.7,,
2009.574,,,27.11,
2009.5875,,26.95,,
2009.6011,,,23.89,
2009.6147,,25.03,,
2009.6283,,,24.87,
2009.6418,,24.3,,
2009.6554,,,25.03,
2009.669,,26.43,,
2009.6826,,,25.64,
2009.6947,,29.19,,
2009.7097,,,28.51,
2009.736,,23.71,,
2009.7369,,,27.79,
2009.7504,,29.27,,
2009.764,,,27.06,
2009.7776,,27.99,,
2009.7911,,,28.15,
2009.8047,,27.25,,
